"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","GO:0009615","response to virus","28/60","260/9707",1.07889124823112e-28,1.30761619285611e-25,9.08539998510413e-26,"55932/15957/23962/69550/15944/20846/229900/20128/66141/100038882/15945/20304/58185/80285/67775/209387/71586/57444/231655/16859/16819/234311/15958/54123/17329/17857/16362/76933",28
"2","GO:0051607","defense response to virus","24/60","221/9707",1.87597064212329e-24,8.46668164053115e-22,5.88270393644687e-22,"55932/15957/23962/69550/15944/20846/229900/20128/66141/100038882/15945/20304/58185/80285/67775/209387/71586/57444/231655/234311/15958/54123/17329/16362",24
"3","GO:0140546","defense response to symbiont","24/60","222/9707",2.0957132773592e-24,8.46668164053115e-22,5.88270393644687e-22,"55932/15957/23962/69550/15944/20846/229900/20128/66141/100038882/15945/20304/58185/80285/67775/209387/71586/57444/231655/234311/15958/54123/17329/16362",24
"4","GO:0009617","response to bacterium","28/60","471/9707",1.7985117826682e-21,5.44949070148465e-19,3.78634059509095e-19,"55932/15957/24110/12010/14469/60440/15944/20846/229900/20128/14972/100038882/23833/231507/99899/16912/15945/209387/60533/246256/16859/16819/14939/17329/110454/20558/12363/20296",28
"5","GO:0002831","regulation of response to biotic stimulus","24/60","367/9707",3.59841139876465e-19,8.72254923060552e-17,6.06048235581416e-17,"55932/14469/15944/20846/229900/20128/14972/100038882/20304/58185/80285/209387/71586/60533/231655/16859/234311/54123/70110/547253/16362/12258/21354/12363",24
"6","GO:0045088","regulation of innate immune response","21/60","306/9707",3.93744152572754e-17,7.95363188196964e-15,5.52623372031936e-15,"55932/14469/15944/229900/20128/14972/100038882/58185/80285/209387/71586/231655/16859/234311/54123/70110/547253/16362/12258/21354/12363",21
"7","GO:0048525","negative regulation of viral process","13/60","75/9707",4.56625636448054e-16,7.90614673392916e-14,5.49324073922471e-14,"23962/69550/20846/20128/66141/100038882/20304/58185/209387/71586/57444/231655/12642",13
"8","GO:0050792","regulation of viral process","15/60","130/9707",1.12195321496696e-15,1.69975912067494e-13,1.18100338417575e-13,"55932/23962/69550/20846/229900/20128/66141/100038882/20304/58185/209387/71586/57444/231655/12642",15
"9","GO:1903900","regulation of viral life cycle","14/60","109/9707",2.43048227737014e-15,2.97499855490044e-13,2.06704780607986e-13,"55932/23962/69550/229900/20128/66141/100038882/20304/58185/209387/71586/57444/231655/12642",14
"10","GO:0019221","cytokine-mediated signaling pathway","20/60","327/9707",2.45461926971983e-15,2.97499855490044e-13,2.06704780607986e-13,"23962/60440/15944/20846/66141/100038882/15945/20293/20304/80285/71586/231655/54123/547253/17329/16186/16362/12363/20296/20302",20
