"","Probe","NCBIid","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_89756_coefficient","contrast_89756_log2fc","contrast_89756_tstat","contrast_89756_pvalue"
"1","1424921_at","69550","Bst2","bone marrow stromal cell antigen 2",0,0,7e-04,2.2396,2.2396,12.0136,3.666e-12
"2","1451564_at","547253","Parp14","poly (ADP-ribose) polymerase family, member 14",0,0,7e-04,1.3195,1.3195,8.8967,2.129e-09
"3","1451777_at","234311","Ddx60","DExD/H box helicase 60",0,0,7e-04,2.3548,2.3548,12.97,6.51e-13
"4","1435906_x_at","14469","Gbp2","guanylate binding protein 2",0,0,7e-04,2.1362,2.1362,9.5143,5.478e-10
"5","1445897_s_at","70110","Ifi35","interferon-induced protein 35",0,0,7e-04,1.736,1.736,9.3351,8.082e-10
"6","1418415_at","15413","Hoxb5","homeobox B5",0,0,7e-04,3.3665,3.3665,22.6172,0
"7","1451860_a_at","20128","Trim30a","tripartite motif-containing 30A",0,0,7e-04,2.4803,2.4803,13.9702,1.179e-13
"8","1452428_a_at","12010","B2m","beta-2 microglobulin",0,0,7e-04,1.9648,1.9648,22.5875,0
"9","1435208_at","209200","Dtx3l","deltex 3-like, E3 ubiquitin ligase",0,0,7e-04,1.781,1.781,11.0651,2.245e-11
"10","1443698_at","327959","Xaf1","XIAP associated factor 1",0,0,7e-04,2.0835,2.0835,11.5213,9.272e-12
"11","1418930_at","15945","Cxcl10","C-X-C motif chemokine ligand 10",0,0,7e-04,1.7827,1.7827,8.5244,4.944e-09
"12","1417822_at","110956","D17H6S56E-5","DNA segment, Chr 17, human D6S56E 5",0,0,7e-04,0.5295,0.5295,11.0348,2.383e-11
"13","1425156_at","229900","Gbp7","guanylate binding protein 7",0,0,7e-04,1.3199,1.3199,8.9726,1.797e-09
"14","1460129_at","20538","Slc6a2","solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2",0,0,7e-04,2.0815,2.0815,19.5574,0
"15","1448591_at","13040","Ctss","cathepsin S",0,0,7e-04,1.2157,1.2157,11.6842,6.8e-12
"16","1418825_at","15944","Irgm1","immunity-related GTPase family M member 1",0,0,7e-04,2.0554,2.0554,14.3873,5.929e-14
"17","1417063_at","12260","C1qb","complement component 1, q subcomponent, beta polypeptide",0,0,7e-04,0.6188,0.6188,8.4342,6.08e-09
"18","1436183_at","78781","Zc3hav1","zinc finger CCCH type, antiviral 1",0,0,7e-04,1.4871,1.4871,10.9696,2.71e-11
"19","1448380_at","19039","Lgals3bp","lectin, galactoside-binding, soluble, 3 binding protein",0,0,7e-04,2.2404,2.2404,18.7392,0
"20","1454757_s_at","52668","Ifi27","interferon, alpha-inducible protein 27",0,0,7e-04,1.493,1.493,29.5375,0
"21","1452956_a_at","52668","Ifi27","interferon, alpha-inducible protein 27",0,0,7e-04,1.5198,1.5198,29.1591,0
"22","1418580_at","67775","Rtp4","receptor transporter protein 4",0,0,7e-04,3.1362,3.1362,18.5554,2.22e-16
"23","1426278_at","76933","Ifi27l2a","interferon, alpha-inducible protein 27 like 2A",0,0,7e-04,2.409,2.409,13.4857,2.665e-13
"24","1450034_at","20846","Stat1","signal transducer and activator of transcription 1",0,0,7e-04,2.426,2.426,15.4462,1.11e-14
"25","1453196_a_at","23962","Oasl2","2'-5' oligoadenylate synthetase-like 2",0,0,7e-04,4.4557,4.4557,17.9334,2.22e-16
"26","1449289_a_at","12010","B2m","beta-2 microglobulin",0,0,7e-04,2.0894,2.0894,19.899,0
"27","1423754_at","66141","Ifitm3","interferon induced transmembrane protein 3",0,0,7e-04,2.1835,2.1835,16.636,1.998e-15
"28","1420915_at","20846","Stat1","signal transducer and activator of transcription 1",0,0,7e-04,2.2667,2.2667,13.2738,3.835e-13
"29","1417793_at","54396","Irgm2","immunity-related GTPase family M member 2",0,0,7e-04,1.667,1.667,10.9114,3.042e-11
"30","1447927_at","100702","Gbp6","guanylate binding protein 6",0,0,7e-04,2.3532,2.3532,11.4303,1.104e-11
"31","1448926_at","15402","Hoxa5","homeobox A5",0,0,7e-04,3.6786,3.6786,24.8652,0
"32","1417141_at","16145","Igtp","interferon gamma induced GTPase",0,0,7e-04,2.0092,2.0092,10.5112,6.792e-11
"33","1435665_at","209387","Trim30d","tripartite motif-containing 30D",0,0,7e-04,1.6887,1.6887,12.2046,2.575e-12
"34","1417381_at","12259","C1qa","complement component 1, q subcomponent, alpha polypeptide",0,0,7e-04,0.6932,0.6932,8.8832,2.194e-09
"35","1451335_at","231507","Plac8","placenta-specific 8",0,0,7e-04,2.1589,2.1589,9.68,3.839e-10
"36","1419043_a_at","60440","Iigp1","interferon inducible GTPase 1",0,0,7e-04,3.4244,3.4244,14.1421,8.86e-14
"37","1424948_x_at","14972","H2-K1","histocompatibility 2, K1, K region",0,0,7e-04,2.8318,2.8318,15.7217,7.327e-15
"38","1416897_at","80285","Parp9","poly (ADP-ribose) polymerase family, member 9",0,0,7e-04,1.5858,1.5858,11.3028,1.412e-11
"39","1418240_at","14469","Gbp2","guanylate binding protein 2",0,0,7e-04,2.0897,2.0897,9.2021,1.081e-09
"40","1434380_at","229900","Gbp7","guanylate binding protein 7",0,0,7e-04,1.5503,1.5503,10.6385,5.25e-11
"41","1426774_at","243771","Parp12","poly (ADP-ribose) polymerase family, member 12",0,0,7e-04,1.5119,1.5119,11.5852,8.206e-12
"42","1418191_at","24110","Usp18","ubiquitin specific peptidase 18",0,0,7e-04,3.9799,3.9799,16.359,2.887e-15
"43","1419042_at","60440","Iigp1","interferon inducible GTPase 1",0,0,7e-04,2.6683,2.6683,13.1387,4.845e-13
"44","1450033_a_at","20846","Stat1","signal transducer and activator of transcription 1",0,0,7e-04,2.4233,2.4233,15.0433,2.087e-14
"45","1418392_a_at","55932","Gbp3","guanylate binding protein 3",0,0,7e-04,1.9416,1.9416,11.8882,4.631e-12
"46","1431591_s_at","100038882","Isg15","ISG15 ubiquitin-like modifier",0,0,7e-04,2.3902,2.3902,11.2407,1.593e-11
"47","1424857_a_at","94094","Trim34a","tripartite motif-containing 34A",0,0,7e-04,1.3534,1.3534,10.836,3.534e-11
"48","1450783_at","15957","Ifit1","interferon-induced protein with tetratricopeptide repeats 1",0,0,7e-04,4.3191,4.3191,17.7032,4.441e-16
"49","1419282_at","20293","Ccl12","C-C motif chemokine ligand 12",0,0,7e-04,2.0397,2.0397,15.2009,1.621e-14
"50","1423555_a_at","99899","Ifi44","interferon-induced protein 44",0,0,7e-04,3.1528,3.1528,14.9898,2.265e-14
"51","1448775_at","15950","Ifi203","interferon activated gene 203",1.11e-16,6.098e-14,0.0016,1.6064,1.6064,9.9988,1.955e-10
"52","1421217_a_at","16859","Lgals9","lectin, galactose binding, soluble 9",1.11e-16,6.098e-14,0.0016,1.3203,1.3203,9.3183,8.383e-10
"53","1419879_s_at","217069","Trim25","tripartite motif-containing 25",1.11e-16,6.098e-14,0.0016,1.343,1.343,11.6414,7.375e-12
"54","1426906_at","100040462","Mndal","myeloid nuclear differentiation antigen like",1.11e-16,6.098e-14,0.0016,1.946,1.946,10.5204,6.667e-11
"55","1422903_at","17084","Ly86","lymphocyte antigen 86",1.11e-16,6.098e-14,0.0016,0.5179,0.5179,5.9956,2.413e-06
"56","1422962_a_at","16913","Psmb8","proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)",1.11e-16,6.098e-14,0.0016,1.761,1.761,9.6919,3.742e-10
"57","1417876_at","14129","Fcgr1","Fc receptor, IgG, high affinity I",1.11e-16,6.098e-14,0.0016,1.0424,1.0424,7.5775,4.576e-08
"58","1425974_a_at","217069","Trim25","tripartite motif-containing 25",1.11e-16,6.098e-14,0.0016,1.3934,1.3934,11.9419,4.189e-12
